"filename", "language", "YAML", "Markdown", "JSON", "Go Module File", "HTML", "Go Checksum File", "JavaScript", "TypeScript", "Go", "JSON with Comments", "Shell Script", "Docker", "vue", "MS SQL", "XML", "TypeScript JSX", "PostCSS", "Ignore", "comment", "blank", "total"
"/Users/changzechuan/DBMSProjects/bytebase/backend/api/v1/worksheet_service.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 615, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 60, 704
"/Users/changzechuan/DBMSProjects/bytebase/backend/api/v1/workspace_service.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 111
"/Users/changzechuan/DBMSProjects/bytebase/backend/bin/server/cmd/profile.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"/Users/changzechuan/DBMSProjects/bytebase/backend/bin/server/cmd/profile_dev.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 17
"/Users/changzechuan/DBMSProjects/bytebase/backend/bin/server/cmd/profile_release.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 19
"/Users/changzechuan/DBMSProjects/bytebase/backend/bin/server/cmd/root.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 35, 247
"/Users/changzechuan/DBMSProjects/bytebase/backend/bin/server/cmd/version.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 25
"/Users/changzechuan/DBMSProjects/bytebase/backend/bin/server/main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 15
"/Users/changzechuan/DBMSProjects/bytebase/backend/common/cel.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 31, 301
"/Users/changzechuan/DBMSProjects/bytebase/backend/common/cel_attributes.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 5, 59
"/Users/changzechuan/DBMSProjects/bytebase/backend/common/cel_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 116
"/Users/changzechuan/DBMSProjects/bytebase/backend/common/config.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 13
"/Users/changzechuan/DBMSProjects/bytebase/backend/common/config_dev.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 9
"/Users/changzechuan/DBMSProjects/bytebase/backend/common/config_release.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 9
"/Users/changzechuan/DBMSProjects/bytebase/backend/common/const.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 44
"/Users/changzechuan/DBMSProjects/bytebase/backend/common/context.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 79
"/Users/changzechuan/DBMSProjects/bytebase/backend/common/db_schema.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 37
"/Users/changzechuan/DBMSProjects/bytebase/backend/common/db_schema_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 103
"/Users/changzechuan/DBMSProjects/bytebase/backend/common/engine.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 22, 538
"/Users/changzechuan/DBMSProjects/bytebase/backend/common/error.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 19, 125
